address,name,profit
0xBC1F9D1cA2cC9dEC0e8006948507e9ce6087Dd8c,SINGULARITY,142
0xe115401B985306837B9f1495c8e9d7f8f8328cc3,Claw,82
0x21A915c4a7b2911aCBfbE589aAd7cdfD190Fe02D,LIL MAYO,39
0x803dff40bac640c6d9e9bcc32ca5d1cecad74163,HIGH Alien,32
0xe135633103Fa34a7891a1C0bfE8BF17e901Da6dA,AI Sport,29
0x6e9513330fe54AD5a793908dFE5676596394534a,Artificial Ignorance,27
0x723aFeEdC6679eeE123F155350d3C0C90fC93896,Google Ai,151
0x618D37b3173aF31820B092D1bad334ee29AD47de,Easy Tools,96
0xf36C5f04127F7470834ed6f98bDDC1BE62aba48D,Crypto Ai,84
0xa48f3422A740Db4135F83d7Bb186ccdAe22919C5,Momonosuke,51
0x4f12cc1C2521dec3495f40c5021583B8d5Fe924a,Ai Finance,38
0x5c8190b76E90B4DD0702740cF6Eb0F7eE01Ab5E9,Archive AI,31
0xCbcc21bd76175e1E79724152D3edf0F42D9d490F,Shika inu,31
0xB7Df0f42FAe30acf30C9A5BA147D6B792b5eB9d9,Ai Smart Chain,27
0x9053Bfb430A021Bbd9958fA1d663063e4ABE17ee,Tosa Inu,80
0x0e1Bb5546524235C8ABfd6f9b77b25c2cA0e12E0,Honk,59
0x2440fB6aE95Cb820eE0f9e51BEE8B51F3C607d06,SMELLING GOOD,47
0x6b453412bdeaeb80396eaed6d0baf8c95f523102,Shibosu,41
0x57216A946c65F3103beb0C2B90cFa0E24486B0AC,DogeBonk,33
0x91c2776a987Dd4e875d7D93C83dd32BEBA46c9b7,Singularity,23
0x2238796FB82aa4E989a1E96bFD0c4412550C4904,The First Great Ape,19
0xC24F904b9427F7e1d12BF8dfaB8de9388ad74605,Bit Gold,424
0xe03B2642A5111aD0EFc0cbCe766498c2dd562Ae9,Bitcoin,315
0x92b2927Fb83C0f5925598DC333DFA8Dab0ea02a3,Ethereum,184
0xEeAaA35FeDc7B084bB713651C19Db57C2600ba42,OLD TETHER,50
0x28A34660CD987AdC64fBE4Ec6Eb35e5577336Fda,Memecoin,47
0xCE03bc4bf309782C07EAce5057428a7Cd807Eb51,Hokkaido Inu,45
0x1ED5Bf73281D956F331A1164981728aF1a499FBe,Netcoin,45
0x6b453412bdeaeb80396eaed6d0baf8c95f523102,Shibosu,28
0xEF261cBFcA1FC663E1634F1AD0Df56A0E11914a1,NEW ETHEREUM,25
0xa656b6E2dc82B496F606C95714664481756DfC5D,Bitcoin Cash,19
0x6A6AA13393B7d1100c00a57c76c39e8B6C835041,OPENAI,180
0x6626a0D94bce7953c2204B0e38d3086671E8Ee52,AYAN,111
0xC204Dc47de5f4cBf9e87e9dC84de83aC8B498305,The Wolf Of Crypto Street,39
0x3f92b77320a6C308d8E085fCfcc7410E50C41F4b,Gammagoblins,18
0xcd8b09f495a41965e22b9dde94c71f49484986c9,Jidoka Muzzle,15
0x40D8AAfa8e9d12Ea5C647D3b6e7451eb30c6ECb3,XEN Protocol,14
0x0B7c20B3733F9d4D57E072AEc473dAA8c37cd3FB,Fable Of the Dwagon,13
0x852a4C5948524649d6F323d739b61FF6AA54f384,Baby DinoLFG,83
0xcBB65438D14748D201Cd8f915a61f745E68D866e,Decentral Bank Digital Cur,31
0x48e197b85BbCE85aa9aA29e749cD77366fD87120,GENESIS CLASSIC,28
0x1713485b15fa6519c3984e839e6d1a9ee8855373,This is Not Alpha,21
0x31aA0F8CB87479eBDc50aa46627755fe16c997BA,QatarBets,14
0xd546cf4de09138dc7cd36ebe203b237edc415c2d,Tale of Ryoshi,13
0x4518361fCc5E3b7405Edd71324319384b3aBaca5,GAMO,12
0x4518361fCc5E3b7405Edd71324319384b3aBaca5,ETHWAR,12
0xa30Cf1DD08C376f5DB60b3D132d6639C9C4CE5eD,THE Real Tail Of Ryoshi,10
0xB19710C6Ad97A343bD76FeDEFFf7db221F32e265,What,10
0x6a9c6517fF7891312B88433Ba7Dc334A489d798A,Xmas Inu,42
0x1D6Ec5Fc5FCB292727681C5Cc194916240242b1D,Freedom of Speech,20
0xBDee6461C49b5F4C98F770e378fbAD663306432D,Byakko,18
0xfb923A05E71Edac87892521E1b55B34181a6581B,The artificial lantern,16
0xD9F6724F250F4dA8453e3DD97d718872BF72C1Da,FTX Classic,12
